"Character","Detail","House_Allegiance","Culture","URL","Book","Born","Died","to","relationship_type"
"Abulurd Harkonnen","Abulurd Harkonnen�was an early member of�House Harkonnen, who participated in the�Battle of Corrin. He was accused of treachery by�House Atreides, beginning a feud that would last for 10 millennia.","Harkonnen",,,"Dune",,,,
"Abulurd Rabban","Abulurd Rabban, born Harkonnen, was the�Siridar-Baron�Vladimir Harkonnen's youngest�demibrother.","Harkonnen",,,"Dune",,,"Vladimir Harkonnen","Family"
"Ali Ben Ohashi","Ali Ben Ohashi��(1,321?1,384) reportedly was the leader of the�Zensunni�sect which broke away from the teachings of�Maometh�in about 1,381�, leading to a schism.However there was some historical evidence that he might just have been the male spokesman of his second wife�Nisai.","Unknown","Zensunni",,"Dune",1321,1384,,
"Alia Atreides","Alia Atreides, aka�Saint Alia of the Knife�(10191 AG�-�10219 AG), born in planet�Arrakis. Posthumous daughter of Duke�Leto Atreides I�and his�Bene Gesserit�concubine�Lady�Jessica, was the younger sister of�Paul Atreides.","Atreides",,,"Dune",10191,10219,,
"Anirul Corrino","Lady�Anirul Corrino�(-10176 AG) was a�Bene Gesserit�of�Hidden Rank�who married�Shaddam Corrino IV, the 81st Padishah Emperor of the�Known Universe. As such, she was the mother of Princess�Irulan Corrino�and the grandmother of Prince�Farad'n Corrino.","Corrino","Bene Gesserit","https://dune.fandom.com/wiki/Anirul_Corrino","Dune",,,"Shaddam Corrino IV","Marriage"
"Aramsham","Aramsham�is a�Sardaukar�Captain discredited in the�Arrakis Revolt�of�10193 AG. Having infiltrated�Gurney Halleck's crew of�spice smugglers, he and his patrol failed to assassinate�Paul Atreides�when Paul and Gurney were reunited.","Harkonnen",,,"Dune",,,,
"Arkie","Arkie�(Unknown - 10191 AG) was an�officer�or�House Trooper�of�House Atreides. He served in�Thufir Hawats�unit and died during Hawath?s groups flight from�Arrakeen�during the�Harkonnen?s and�Sardaukars�invasion of�Arrakis.","Atreides",,,"Dune",,10191,,
"Chani Kynes","Chani Kynes, also known by her intimate name�Sihaya, (10177 AG�-�10205 AG) was the�Fremen�bound concubine of�Paul Atreides, and the mother of his three children:�Leto Atreides II the Elder, and the twins�Leto Atreides II�the Younger, God Emperor of Dune and�Ghanima Atreides.","Atreides","Fremen","https://dune.fandom.com/wiki/Chani_Kynes","Dune",,,"Paul Atreides","Marriage"
"Chatt","Chatt the Leaper was a Fremen and captain of the Fedaykin whose resolve could never be questioned. He became leader of the death commandos who guarded Muad'Dib. ","Atreides","Fremen","https://dune.fandom.com/wiki/Chatt","Dune",,,,
"Coss","Coss�was a man from�Arrakis�and a member of the�Harvester-crew which had been saved from a�Sandworm�By�Duke�Leto Atreides�and his retinue.","Atreides",,,"Dune",,,"Leto Atreides I","Allies"
"Czigo","Czigo was a Soldier and Assassin in service of House Harkonnen who, along with his comrade Kinet had been assigned by House Mentat Piter de Vries to eliminate Paul Atreides and Lady Jessica Atreides in the deserts outside the Shield Wall. Both Harkonnen Soldiers were killed by Paul and Lady Jessica when they managed to escape by using the Voice.","Harkonnen",,,"Dune",,,"Kinet","Allies"
"Drisq","Drisq�was the�Quartermaster�of�Tuek's Sietch.He served first�Esmar Tuek�and later his son�Staban.","Unknown",,"https://dune.fandom.com/wiki/Drisq","Dune",,,"Staban Tuek","Family"
"Duncan Idaho","Duncan Idaho (10148 AG - 10191 AG) was a swordmaster in the service of House Atreides, and one of Duke Leto's right-hand men, with Gurney Halleck and Thufir Hawat. Duncan Idaho was said to be very handsome. He had black, curly hair, a dark complexion, and green or blue eyes. During the days of the original Duncan Idaho, and during the time of the God Emperor, he was regarded as something of a ladies' man.","Atreides",,"https://dune.fandom.com/wiki/Duncan_Idaho","Dune",,,"Leto Atreides I","Allies"
"Esmar Tuek","Esmar Tuek was a spice smuggler during the time of Muad'Dib.","Unknown",,"https://dune.fandom.com/wiki/Esmar_Tuek","Dune",,,,
"Farok","Farok was a Fremen from Sietch Tabr. He was one of the Fedaykin.","Atreides","Fremen","https://dune.fandom.com/wiki/Farok","Dune",,,,
"Farrukh","Farrukh was a Fremen of Sietch Tabr and a member of Stilgar's group who found Paul and Jessica Atreides near the Tuono basin.","Atreides","Fremen",,"Dune",,,"Paul Atreides","Allies"
"Fedor","When listening to the com-net device of the Ornithopter used by the Harkonnen Agents to transport him and Lady Jessica, Paul Atreides caught bits of communication in the Atreides Battle Language.One of these bits was an Atreides House Trooper named Fedor reporting no survivors at Carthag and the plundering of the Guild Bank.","Harkonnen",,"https://dune.fandom.com/wiki/Fedor","Dune",,,"Paul Atreides","Enemies"
"Feyd-Rautha Harkonnen","Feyd-Rautha Harkonnen (10174 AG - 10193 AG) is one of the antagonists of Dune. Feyd was the younger nephew of Baron Vladimir Harkonnen of House Harkonnen. He figured heavily in the Baron's plans to gain power. He was nominated by Baron Vladimir as the ""Na-Baron"" - heir to House Harkonnen. Giedi Prime","Harkonnen",,,"Dune",,,,
"Gaius Helen Mohiam","Reverend Mother Gaius Helen Mohiam was a Bene Gesserit Reverend Mother. Mohiam trained the Lady Jessica in the Bene Gesserit chapterhouse on Wallach IX. Two decades later, Mohiam tested the young Paul Atreides before his departure for Arrakis with the gom jabbar. The test was to discover whether Paul was ""truly human"" by trial of pain, using a small box that Paul placed his hand inside. The pain inflicted on Paul was caused by nerve induction and clearly drained an incredible amount of energy from the Reverend Mother, since no male or female child had ever withstood that much physical pain before.","Bene Gesserit","Bene Gesserit",,"Dune",,,,
"Geoff","Geoff was a Fremen of Sietch Tabr. He was the first husband of Harah. Geoff was called out and killed by Jamis, who subsequently took Harah as his wife.","Atreides","Fremen","https://dune.fandom.com/wiki/Geoff","Dune",,,"Jamis","Enemies"
"Glossu Rabban Harkonnen","Glossu Rabban Harkonnen (10132 AG - 10193 AG), also known as the Beast, Mudir Nahya (Demon Ruler), and King Cobra by the Fremen, was the older nephew of Baron Vladimir Harkonnen, and the Count of Lankiveil.","Harkonnen",,,"Dune",,,"Vladimir Harkonnen","Family"
"Gurney Halleck","Gurney Halleck (b. 10135 AG) was Warmaster for House Atreides during the reign of Leto Atreides I, and then his son Paul. Along with Thufir Hawat and Duncan Idaho, Halleck was one of Paul's principal teachers during his early years on Caladan. He was a ruthless, yet noble and romantic warrior of enormous talent. ","Atreides",,"https://dune.fandom.com/wiki/Gurney_Halleck","Dune",,,"Leto Atreides I","Allies"
"Gurney Halleck","Gurney Halleck (b. 10135 AG) was Warmaster for House Atreides during the reign of Leto Atreides I, and then his son Paul. Along with Thufir Hawat and Duncan Idaho, Halleck was one of Paul's principal teachers during his early years on Caladan. He was a ruthless, yet noble and romantic warrior of enormous talent. ","Atreides",,"https://dune.fandom.com/wiki/Gurney_Halleck","Dune",,,,
"Halleck's Lieutenant","Unknown","Atreides",,,"Dune",,,,
"Harah","Harah was the Fremen wife by custom of Paul Atreides; widow of Jamis; nurse of Alia, Leto, and Ghanima Atreides; wife of Stilgar. Harah's maternal impulse drove her to lavish solicitude not only on her own children but on those of the Atreides Family as well.","Fremen",,"https://dune.fandom.com/wiki/Harah","Dune",,,"Paul Atreides","Marriage"
"Hasimir Fenring","Count Hasimir Fenring (10133 AG - 10225 AG) was a renowned assassin and Mentat political tactician, and the adviser to Emperor Shaddam Corrino IV. He was also a prominent member of House Fenring, a House Minor that had long been aligned to House Corrino. Fenring was a genetic eunuch and a failed Kwisatz Haderach. He was married to the Bene Gesserit Lady Margot Fenring.","Fenring","Mentat","https://dune.fandom.com/wiki/Hasimir_Fenring","Dune",10133,10225,"Margot Fenring","Marriage"
"Iakin Nefud","Captain Iakin Nefud was the captain of the House Harkonnen guard. Before his promotion, he was a corporal. Nefud was a Semuta addict.","Harkonnen",,,"Dune",,,,
"Irulan Corrino","Princess Irulan Corrino was the eldest daughter of the 81st Padishah Emperor Shaddam Corrino IV, and Anirul, a Bene Gesserit of Hidden Rank. She was also the wife, in title only, of Emperor Paul Atreides, and an important historian who chronicled the events of Paul's rise to the Imperial throne through a series of written works.","Corrino",,"https://dune.fandom.com/wiki/Irulan_Corrino","Dune",,,"Shaddam Corrino IV","Family"
"Jamis","Jamis (10159 AG[source?] - 10191 AG) was a Fremen of Sietch Tabr, best known as the man who was bested by Paul Atreides when he and his mother Jessica were first given sanctuary by Stilgar. He was also known to be adept in playing the nine-stringed baliset.","Atreides","Fremen","https://dune.fandom.com/wiki/Jamis","Dune",10159,10191,"Stilgar","Family"
"Jehanne Butler","Jehanne Butler [ 230 BG - 182 BG] was the personality who inspired the Butlerian Jihad. She was born on Komos and trained to be a priestess and a Bene Gesserit. She obtained control of her own body beyond aytomatic muscle systems, as well as an aimplified rhetoric gift; but she abandoned the order and married Thet'r Butler, the Logistos of Xania in 205 BG, in an age considered late for their culture. Soon after she went to the hospital in the capital of Pylos to give birth to their daughter, Sarah Butler. Without anyone knowing, Sarah would have been the way for the first Kwisatz Haderach, but, tragically, her death delayed his arrival until Paul Atreides was born.","Bene Gesserit",,,"Dune",,,,
"Jessica Atreides","Lady Jessica of the Atreides (10154 AG-10256 AG) was the official concubine of Duke Leto Atreides I, and the mother of his son, Emperor Paul Atreides, and daughter, Alia Atreides. She was also a Reverend Mother of the Bene Gesserit Sisterhood.","Atreides","Bene Gesserit","https://dune.fandom.com/wiki/Jessica_Atreides","Dune",10154,10256,"Paul Atreides","Family"
"Jessica Atreides","Lady Jessica of the Atreides (10154 AG-10256 AG) was the official concubine of Duke Leto Atreides I, and the mother of his son, Emperor Paul Atreides, and daughter, Alia Atreides. She was also a Reverend Mother of the Bene Gesserit Sisterhood.","Atreides","Bene Gesserit","https://dune.fandom.com/wiki/Jessica_Atreides","Dune",10154,10256,"Leto Atreides I","Marriage"
"Kaleff","Kaleff was the son of Geoff, a Fremen of Sietch Tabr. When Geoff was killed by Jamis, Kaleff was taken by Jamis as his own son.","Atreides","Fremen",,"Dune",,,"Geoff","Family"
"Karef","Unknown","Unknown",,,"Dune",,,,
"Kinet","Kinet�was a scarfaced Soldier and�Assassin�in service of�House Harkonnen�who, along with his comrade�Czigo�had been assigned by House�Mentat�Piter de Vries�to eliminate�Paul Atreides�and Lady�Jessica Atreides�in the deserts outside the�Shield Wall. Kinet was specifically chosen for this task by the Baron as he was deaf and therefore could not manipulated by Jessica?s use of Voice. Both Harkonnen Soldiers were killed by Paul and Lady Jessica when they managed to escape by using the�Voice�on Czigo.","Harkonnen",,,"Dune",,,"Czigo","Allies"
"Korba","Korba was one of the original Fedaykin under the command of Paul Atreides during the Arrakis Revolt. After Paul succeeded Shaddam Corrino IV on the Golden Lion Throne, Korba became a leading priest on Paul's Qizarate. His official title was ""Panegyrist.""","Atreides","Fremen",,"Dune",,,"Paul Atreides","Allies"
"Larus","Unknown","Unknown",,,"Dune",,,,
"Lemil","Unknown","Unknown",,,"Dune",,,,
"Leto Atreides I","Leto Atreides I aka Leto the Just (10140 AG - 10191 AG). With his Bene Gesserit concubine, Lady Jessica, he was father of Emperor Paul Atreides and Regent Alia. Grandfather of Leto Atreides II, the God-Emperor, and Ghanima.","Atreides",,,"Dune",10140,10191,"Gurney Halleck","Allies"
"Leto Atreides I","Leto Atreides I aka Leto the Just (10140 AG - 10191 AG). With his Bene Gesserit concubine, Lady Jessica, he was father of Emperor Paul Atreides and Regent Alia. Grandfather of Leto Atreides II, the God-Emperor, and Ghanima.","Atreides",,,"Dune",10140,10191,"Stilgar","Allies"
"Leto Atreides I","Leto Atreides I aka Leto the Just (10140 AG - 10191 AG). With his Bene Gesserit concubine, Lady Jessica, he was father of Emperor Paul Atreides and Regent Alia. Grandfather of Leto Atreides II, the God-Emperor, and Ghanima.","Atreides",,,"Dune",10140,10191,"Paul Atreides","Family"
"Leto Atreides I","Leto Atreides I aka Leto the Just (10140 AG - 10191 AG). With his Bene Gesserit concubine, Lady Jessica, he was father of Emperor Paul Atreides and Regent Alia. Grandfather of Leto Atreides II, the God-Emperor, and Ghanima.","Atreides",,,"Dune",10140,10191,"Paul Atreides","Marriage"
"Lichna"," Lichna, the daughter of Paul's trusted Fedaykin Otheym, is killed and impersonated by the Tleilaxu Face Dancer Scytale as a means to infiltrate Paul's household, which ultimately fails. ","Unknown",,,"Dune",,,"Otheym","Family"
"Liet Kynes","Liet Kynes, (10156 AG - 10191 AG) was the son of Pardot Kynes and the father of Chani (who became the concubine of Emperor Paul Atreides). Liet was a prominent imperial planetologist/ecologist of Arrakis, the Judge of the Change, and the secret leader of the Fremen at the time House Atreides took control of Arrakis in 10191 AG.","Atreides","Fremen",,"Dune",10156,10191,"Leto Atreides I","Allies"
"Liet Kynes","Liet Kynes, (10156 AG - 10191 AG) was the son of Pardot Kynes and the father of Chani (who became the concubine of Emperor Paul Atreides). Liet was a prominent imperial planetologist/ecologist of Arrakis, the Judge of the Change, and the secret leader of the Fremen at the time House Atreides took control of Arrakis in 10191 AG.","Atreides","Fremen",,"Dune",10156,10191,"Paul Atreides","Allies"
"Liet Kynes","Liet Kynes, (10156 AG - 10191 AG) was the son of Pardot Kynes and the father of Chani (who became the concubine of Emperor Paul Atreides). Liet was a prominent imperial planetologist/ecologist of Arrakis, the Judge of the Change, and the secret leader of the Fremen at the time House Atreides took control of Arrakis in 10191 AG.","Atreides","Fremen",,"Dune",10156,10191,"Chani Kynes","Family"
"Lingar Bewt","Lingar Bewt was a water seller on Arrakis. He mined ice from the north polar region to be sold as water, and he maintained a summer mansion near his polar cap factory. He had a bland round face, with darkly tanned skin, large eyes and thick lips.","Unknown",,,"Dune",,,,
"Maometh","Maometh, the so-called ""Third Muhammed"" (1159-1241). was a Prophet of Buddislam.The Zensunni had originally emerged from a schism among his followers that had broken away from his teachings while the Maometh Saari still relied on him.","Unknown","Zensunni",,"Dune",1159,1241,,
"Mapes","The Shadout Mapes was the head housekeeper in the Imperial Residence in the city of Arrakeen on the planet Arrakis when the Atreides took control of that planet in 10,191AG.","Atreides","Fremen",,"Dune",,1241,"Paul Atreides","Allies"
"Margot Fenring","Lady Margot Fenring, was the Bene Gesserit wife of the Mentat Count Hasimir Fenring. Despite superficially falling under the influence of House Corrino, Margot fully served the Sisterhood to many ends. After the vast reduction of Bene Gesserit influence following the Ascension of House Atreides, Margot and her husband dedicated themselves to serving their own ends.","Atreides","Bene Gesserit",,"Dune",,,"Hasimir Fenring","Marriage"
"Mattai","Mattai (Unknown - 10191 AG) was an officer or House Trooper in service of House Atreides. He was one of the men in Gurney Hallecks unit and was mortally wounded during his company?s escape from Arrakeen.The Group had found shelter among Esmar Tuek?s Smugglers, but Mattai died due to lack of bone and organ banks.","Atreides",,,"Dune",,10191,"Gurney Halleck","Allies"
"Mitha","Mitha (d. 10156 AG) was a Fremen woman of Sietch Tabr. Pardot Kynes married her. The Harkonnens who hosted him ridiculed his choice behind his back but did not dare to mock him openly, since he was an imperial servant. She gave birth to their son, Liet and died shortly after his birth in 10156 AG. Kynes allowed the child to be brought up among the other children of Sietch Tabr. Liet along with his peers, divided his time between in-sietch education and work at the various plantings.","Atreides","Fremen",,"Dune",,,"Pardot Kynes","Marriage"
"Nisai","Orlop was a Fremen of Sietch Tabr. He was the son of Jamis. Orlop was very young when his father was killed after calling out Paul Atreides. As a result, Orlop, along with his half brother Kaleff and mother Harah, were takin into the Atreides household, presumably where he remained, as it is known that his mother did. Arakis","Atreides","Fremen",,"Dune",,,"Harah","Family"
"Nisai","Orlop was a Fremen of Sietch Tabr. He was the son of Jamis. Orlop was very young when his father was killed after calling out Paul Atreides. As a result, Orlop, along with his half brother Kaleff and mother Harah, were takin into the Atreides household, presumably where he remained, as it is known that his mother did. Arrakis","Atreides","Fremen",,"Dune",,,"Jamis","Family"
"Nisai","Orlop was a Fremen of Sietch Tabr. He was the son of Jamis. Orlop was very young when his father was killed after calling out Paul Atreides. As a result, Orlop, along with his half brother Kaleff and mother Harah, were takin into the Atreides household, presumably where he remained, as it is known that his mother did. Arakis","Atreides","Fremen",,"Dune",,,"Karef","Family"
