name	allegiance	culture	spouse	father	mother	books	show	predecessor	successor	born	died	title	url
A certain man		['Myrish']				['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings']	['http://awoiaf.westeros.org/index.php/Season_3']			[]	[]	[]	http://awoiaf.westeros.org/index.php/A_certain_man
Abelar Hightower	['http://awoiaf.westeros.org/index.php/House_Hightower']	['Reach']				['http://awoiaf.westeros.org/index.php/The_Hedge_Knight']				[b'the Hightower[1]']	[]	[['Ser']]	http://awoiaf.westeros.org/index.php/Abelar_Hightower
Abelon	['http://awoiaf.westeros.org/index.php/Citadel']					['http://awoiaf.westeros.org/index.php/Fire_and_Blood']				[]	[]	[['Archmaester']]	http://awoiaf.westeros.org/index.php/Abelon
Addam		['Crownlands']				['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Addam_of_Duskendale
Addam Frey	['http://awoiaf.westeros.org/index.php/House_Frey']	['Rivermen']				['http://awoiaf.westeros.org/index.php/The_Mystery_Knight']				[b'The Twins[1]']	[]	[['Ser']]	http://awoiaf.westeros.org/index.php/Addam_Frey
Addam Hightower	['http://awoiaf.westeros.org/index.php/House_Hightower', 'http://awoiaf.westeros.org/index.php/House_Tyrell']	['Reach']	[]	['http://awoiaf.westeros.org/index.php/Manfred_Hightower_(Aegon%27s_Conquest)']		['http://awoiaf.westeros.org/index.php/Fire_%26_Blood']		['http://awoiaf.westeros.org/index.php/Manfred_Hightower_(Aegon%27s_Conquest)']	['http://awoiaf.westeros.org/index.php/Manfred_Hightower_(son_of_Addam)']	[b'Inor before 22BC[2]']	[b'In1023AC[2]']	[['Beacon of the South', 'Defender of Oldtown', 'Defender of the Citadel', 'Lord of Oldtown', 'Lord of the Hightower', 'Lord of the Port', 'Ser[1]', 'Voice of Oldtown']]	http://awoiaf.westeros.org/index.php/Addam_Hightower
Addam Marbrand	['http://awoiaf.westeros.org/index.php/House_Marbrand', 'http://awoiaf.westeros.org/index.php/Addam_Marbrand', 'http://awoiaf.westeros.org/index.php/House_Lannister', 'http://awoiaf.westeros.org/index.php/City_Watch_of_King%27s_Landing']	['Westermen']		['http://awoiaf.westeros.org/index.php/Damon_Marbrand']		['http://awoiaf.westeros.org/index.php/A_Game_of_Thrones', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']	['http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_1']	['http://awoiaf.westeros.org/index.php/Jacelyn_Bywater']	['http://awoiaf.westeros.org/index.php/Osfryd_Kettleblack']	[b'Ashemark[4]']	[]	[['Ser[1]', 'Commander of the City Watch[2] (formerly)']]	http://awoiaf.westeros.org/index.php/Addam_Marbrand
Addam Osgrey	['http://awoiaf.westeros.org/index.php/House_Osgrey', 'http://awoiaf.westeros.org/index.php/Addam_Osgrey']	['Reach']		['http://awoiaf.westeros.org/index.php/Eustace_Osgrey']		['http://awoiaf.westeros.org/index.php/The_Sworn_Sword']				[b'In183AC or 184AC[2],Standfast[3]']	[b'In196AC,Redgrass Field[1]']	[]	http://awoiaf.westeros.org/index.php/Addam_Osgrey
Addam Rivers		['Rivermen']				['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']				[]	[]	[['Ser', 'River king/King of the Trident']]	http://awoiaf.westeros.org/index.php/Addam_Rivers
Addam Velaryon	['http://awoiaf.westeros.org/index.php/House_Velaryon', 'http://awoiaf.westeros.org/index.php/House_Targaryen', 'http://awoiaf.westeros.org/index.php/Blacks']	['Crownlands']		['http://awoiaf.westeros.org/index.php/Laenor_Velaryon', 'http://awoiaf.westeros.org/index.php/Corlys_Velaryon']	['http://awoiaf.westeros.org/index.php/Marilda_of_Hull']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_Princess_and_the_Queen']				[b'In114AC[2],Hull[1]']	[b'In130AC[1],Tumbleton[1]']	[['Ser[1]']]	http://awoiaf.westeros.org/index.php/Addam_Velaryon
