url;text
https://neo4j.com/docs/apoc/5/overview/apoc.text/apoc.text.base64UrlDecode;"apoc.text.base64UrlDecode
Contents
Signature
Input parameters
Usage Examples
Function
apoc.text.base64UrlDecode(url String) - decodes the given Base64 encoded URL.
Signature
None
Copy to Clipboard
apoc.text.base64UrlDecode(url :: STRING?) :: (STRING?)
Input parameters
Name Type Default
url
STRING?
null
Usage Examples
Cypher
Copy to Clipboard
Run in Neo4j Browser
RETURN apoc.text.base64UrlDecode(""aHR0cDovL25lbzRqLmNvbS8_dGVzdD10ZXN0"") AS output;
Table 1. Results
output
""http://neo4j.com/?test=test""
apoc.text.base64Encode
apoc.text.base64UrlEncode
Was this page helpful?"
https://neo4j.com/docs/apoc/5/overview/apoc.text/apoc.text.base64Encode;"apoc.text.base64Encode
Contents
Signature
Input parameters
Usage Examples
Function
apoc.text.base64Encode(text String) - encodes the given string with Base64.
Signature
None
Copy to Clipboard
apoc.text.base64Encode(text :: STRING?) :: (STRING?)
Input parameters
Name Type Default
text
STRING?
null
Usage Examples
Cypher
Capitalise the first letter of the word with
Copy to Clipboard
Run in Neo4j Browser
RETURN apoc.text.base64Encode(""neo4j"") AS output;
Table 1. Results
output
""bmVvNGo=""
apoc.text.base64Decode
apoc.text.base64UrlDecode
Was this page helpful?"
https://neo4j.com/docs/apoc/5/overview/apoc.text/apoc.text.base64Decode;"apoc.text.base64Decode
Contents
Signature
Input parameters
Usage Examples
Function
apoc.text.base64Decode(text String) - decodes the given Base64 encoded string.
Signature
None
Copy to Clipboard
apoc.text.base64Decode(text :: STRING?) :: (STRING?)
Input parameters
Name Type Default
text
STRING?
null
Usage Examples
Cypher
Copy to Clipboard
Run in Neo4j Browser
RETURN apoc.text.base64Decode(""bmVvNGo="") AS output;
Table 1. Results
output
""neo4j""
apoc.text.phoneticDelta
apoc.text.base64Encode
Was this page helpful?"
https://neo4j.com/docs/apoc/5/overview/apoc.text/apoc.text.phoneticDelta;"apoc.text.phoneticDelta
Contents
Signature
Input parameters
Output parameters
Usage Examples
Procedure
apoc.text.phoneticDelta(text1 String, text2 String) - returns the US_ENGLISH soundex character difference between the two given strings.
Signature
None
Copy to Clipboard
apoc.text.phoneticDelta(text1 :: STRING?, text2 :: STRING?) :: (phonetic1 :: STRING?, phonetic2 :: STRING?, delta :: INTEGER?)
Input parameters
Name Type Default
text1
STRING?
null
text2
STRING?
null
Output parameters
Name Type
phonetic1
STRING?
phonetic2
STRING?
delta
INTEGER?
Usage Examples
Cypher
Copy to Clipboard
Run in Neo4j Browser
CALL apoc.text.phoneticDelta(""Neo4j"", ""Neo4j"");
Table 1. Results
phonetic1 phonetic2 delta
""N200""
""N200""
4
Cypher
Copy to Clipboard
Run in Neo4j Browser
CALL apoc.text.phoneticDelta(""Neo4j Graph Data Science Library"", ""Neo4j Graph Database"");
Table 2. Results
phonetic1 phonetic2 delta
""N261""
""N261""
4
Cypher
Copy to Clipboard
Run in Neo4j Browser
CALL apoc.text.phoneticDelta(""GRANDstack"", ""GraphQL"");
Table 3. Results
phonetic1 phonetic2 delta
""G653""
""G612""
2
apoc.text
apoc.text.base64Decode
Was this page helpful?"
https://neo4j.com/docs/apoc/5/overview/apoc.text;"apoc.text
Qualified Name Type
apoc.text.phoneticDelta
apoc.text.phoneticDelta(text1 String, text2 String) - returns the US_ENGLISH soundex character difference between the two given strings.
Procedure
apoc.text.base64Decode
apoc.text.base64Decode(text String) - decodes the given Base64 encoded string.
Function
apoc.text.base64Encode
apoc.text.base64Encode(text String) - encodes the given string with Base64.
Function
apoc.text.base64UrlDecode
apoc.text.base64UrlDecode(url String) - decodes the given Base64 encoded URL.
Function
apoc.text.base64UrlEncode
apoc.text.base64UrlEncode(url String) - encodes the given URL with Base64.
Function
apoc.text.byteCount
apoc.text.byteCount(text String, charset String) - returns the size of the given string in bytes.
Function
apoc.text.bytes
apoc.text.bytes(text String, charset String) - returns the given string as bytes.
Function
apoc.text.camelCase
apoc.text.camelCase(text String) - converts the given string to camel case.
Function
apoc.text.capitalize
apoc.text.capitalize(text String) - capitalizes the first letter of the given string.
Function
apoc.text.capitalizeAll
apoc.text.capitalizeAll(text String) - capitalizes the first letter of every word in the given string.
Function
apoc.text.charAt
apoc.text.charAt(text String, index Integer) - returns the long value of the character at the given index.
Function
apoc.text.clean
apoc.text.clean(text String) - strips the given string of everything except alpha numeric characters and converts it to lower case.
Function
apoc.text.code
apoc.text.code(codepoint Long) - converts the long value into a string.
Function
apoc.text.compareCleaned
apoc.text.compareCleaned(text1 String, text2 String) - compares two given strings stripped of everything except alpha numeric characters converted to lower case.
Function
apoc.text.decapitalize
apoc.text.decapitalize(text String) - turns the first letter of the given string from upper case to lower case.
Function
apoc.text.decapitalizeAll
apoc.text.decapitalizeAll(text String) - turns the first letter of every word in the given string to lower case.
Function
apoc.text.distance
apoc.text.distance(text1 String, text2 String) - compares the two given strings using the Levenshtein distance algorithm.
Function
apoc.text.doubleMetaphone
apoc.text.doubleMetaphone(value String) - returns the double metaphone phonetic encoding of all words in the given string value.
Function
apoc.text.format
apoc.text.format(text String, params [Any], language String) - formats the given string with the given parameters.
Function
apoc.text.fuzzyMatch
apoc.text.fuzzyMatch(text1 String, text2 String) - performs a fuzzy match search of the two given strings.
Function
apoc.text.hammingDistance
apoc.text.hammingDistance(text1 String, text2 String) - compares the two given strings using the Hamming distance algorithm.
Function
apoc.text.hexCharAt
apoc.text.hexCharAt(text String, index Integer) - returns the hexadecimal value of the given string at the given index.
Function
apoc.text.hexValue
apoc.text.hexValue(value Integer) - returns the hexadecimal value of the given value.
Function
apoc.text.indexOf
apoc.text.indexOf(text String, lookup String, from Integer, to Integer) - returns the first occurrence of the lookup string in the given string, or -1 if not found.
Function
apoc.text.indexesOf
apoc.text.indexesOf(text String, lookup String, from Integer, to Integer) - returns all occurences of the lookup string in the given string, or an empty list if not found.
Function
apoc.text.jaroWinklerDistance
apoc.text.jaroWinklerDistance(text1 String, text2 String) - compares the two given strings using the Jaro-Winkler distance algorithm.
Function
apoc.text.join
apoc.text.join(texts [String], delimiter String) - joins the given strings using the given delimiter.
Function
apoc.text.levenshteinDistance
apoc.text.levenshteinDistance(text1 String, text2 String) - compares the given strings using the Levenshtein distance algorithm.
Function
apoc.text.levenshteinSimilarity
apoc.text.levenshteinSimilarity(text1 String, text2 String) - returns the similarity (a value within 0 and 1) between the two given strings based on the Levenshtein distance algorithm.
Function
apoc.text.lpad
apoc.text.lpad(text String, count Integer, delimiter String) - left pads the given string by the given width.
Function
apoc.text.phonetic
apoc.text.phonetic(text String) - returns the US_ENGLISH phonetic soundex encoding of all words of the string.
Function
apoc.text.random
apoc.text.random(length Integer, valid String) - generates a random string to the given length using a length parameter and an optional string of valid characters.
Function
apoc.text.regexGroups
apoc.text.regexGroups(text String, regex String) - returns all groups matching the given regular expression in the given text.
Function
apoc.text.regreplace
apoc.text.regreplace(text String, regex String, replacement String) - finds and replaces all matches found by the given regular expression with the given replacement.
Function
apoc.text.repeat
apoc.text.repeat(item String, count Integer) - returns the result of the given item multiplied by the given count.
Function
apoc.text.replace
apoc.text.replace(text String, regex String, replacement String) - finds and replaces all matches found by the given regular expression with the given replacement.
Function
apoc.text.rpad
apoc.text.rpad(text String, count Integer, delimiter String) - right pads the given string by the given width.
Function
apoc.text.slug
apoc.text.slug(text String, delimiter String) - replaces the whitespace in the given string with the given delimiter.
Function
apoc.text.snakeCase
apoc.text.snakeCase(text String) - converts the given string to snake case.
Function
apoc.text.sorensenDiceSimilarity
apoc.text.sorensenDiceSimilarityWithLanguage(text1 String, text2 String, languageTag String) - compares the two given strings using the Sørensen–Dice coefficient formula, with the provided IETF language tag.
Function
apoc.text.split
apoc.text.split(text String, regex String, limit Integer) - splits the given string using a given regular expression as a separator.
Function
apoc.text.swapCase
apoc.text.swapCase(text String) - swaps the cases in the given string.
Function
apoc.text.toCypher
apoc.text.toCypher(value Any, config Map<String, Any>) - converts the given value to a Cypher property string.
Function
apoc.text.toUpperCase
apoc.text.toUpperCase(text String) - converts the given string to upper case.
Function
apoc.text.upperCamelCase
apoc.text.upperCamelCase(text String) - converts the given string to upper camel case.
Function
apoc.text.urldecode
apoc.text.urldecode(text String) - decodes the given URL encoded string.
Function
apoc.text.urlencode
apoc.text.urlencode(text String) - encodes the given URL string.
Function
apoc.temporal.toZonedTemporal
apoc.text.phoneticDelta
Was this page helpful?"
https://neo4j.com/docs/apoc/5/overview/apoc.text/apoc.text.decapitalize;"apoc.text.decapitalize
Contents
Signature
Input parameters
Usage Examples
Function
apoc.text.decapitalize(text String) - turns the first letter of the given string from upper case to lower case.
Signature
None
Copy to Clipboard
apoc.text.decapitalize(text :: STRING?) :: (STRING?)
Input parameters
Name Type Default
text
STRING?
null
Usage Examples
Cypher
Decapitalize the first letter of the string
Copy to Clipboard
Run in Neo4j Browser
RETURN apoc.text.decapitalize(""Graph Database"") AS output;
Table 1. Results
output
""graph Database""
apoc.text.compareCleaned
apoc.text.decapitalizeAll
Was this page helpful?"
https://neo4j.com/docs/apoc/5/overview/apoc.text/apoc.text.decapitalizeAll;"apoc.text.decapitalizeAll
Contents
Signature
Input parameters
Usage Examples
Function
apoc.text.decapitalizeAll(text String) - turns the first letter of every word in the given string to lower case.
Signature
None
Copy to Clipboard
apoc.text.decapitalizeAll(text :: STRING?) :: (STRING?)
Input parameters
Name Type Default
text
STRING?
null
Usage Examples
Cypher
Decapitalize the first letter of all words
Copy to Clipboard
Run in Neo4j Browser
RETURN apoc.text.decapitalizeAll(""Graph Databases"")  AS output;
Table 1. Results
output
""graph databases""
apoc.text.decapitalize
apoc.text.distance
Was this page helpful?"
https://neo4j.com/docs/apoc/5/overview/apoc.text/apoc.text.distance;"apoc.text.distance
Contents
Signature
Input parameters
Usage Examples
Function
apoc.text.distance(text1 String, text2 String) - compares the two given strings using the Levenshtein distance algorithm.
Signature
None
Copy to Clipboard
apoc.text.distance(text1 :: STRING?, text2 :: STRING?) :: (INTEGER?)
Input parameters
Name Type Default
text1
STRING?
null
text2
STRING?
null
Usage Examples
Cypher
Copy to Clipboard
Run in Neo4j Browser
RETURN apoc.text.distance(""Levenshtein"", ""Levenstein"") AS output;
Table 1. Results
output
1
apoc.text.decapitalizeAll
apoc.text.doubleMetaphone
Was this page helpful?"
https://neo4j.com/docs/apoc/5/overview/apoc.text/apoc.text.doubleMetaphone;"apoc.text.doubleMetaphone
Contents
Signature
Input parameters
Usage Examples
Function
apoc.text.doubleMetaphone(value String) - returns the double metaphone phonetic encoding of all words in the given string value.
Signature
None
Copy to Clipboard
apoc.text.doubleMetaphone(value :: STRING?) :: (STRING?)
Input parameters
Name Type Default
value
STRING?
null
Usage Examples
Cypher
Copy to Clipboard
Run in Neo4j Browser
RETURN apoc.text.doubleMetaphone(""Neo4j Aura"") AS output;
Table 1. Results
output
""NJAR""
Cypher
Copy to Clipboard
Run in Neo4j Browser
RETURN apoc.text.doubleMetaphone(""GRANDstack: Build Fullstack GraphQL Applications With Ease"") AS output;
Table 2. Results
output
""KRNTPLTFLSTKRFKAPLKA0AS""
apoc.text.distance
apoc.text.format
Was this page helpful?"
https://neo4j.com/docs/apoc/5/overview/apoc.text/apoc.text.format;"apoc.text.format
Contents
Signature
Input parameters
Usage Examples
Function
apoc.text.format(text String, params [Any], language String) - formats the given string with the given parameters.
Signature
None
Copy to Clipboard
apoc.text.format(text :: STRING?, params :: LIST? OF ANY?, language = en :: STRING?) :: (STRING?)
Input parameters
Name Type Default
text
STRING?
null
params
LIST? OF ANY?
null
language
STRING?
en
Usage Examples
Cypher
Copy to Clipboard
Run in Neo4j Browser
RETURN apoc.text.format(""Neo4j %s"", [""Bloom""]) AS output;
Table 1. Results
output
""Neo4j Bloom""
apoc.text.doubleMetaphone
apoc.text.fuzzyMatch
Was this page helpful?"
