movieId,released,title,actors,director,genres,imdbRating
1,1995-11-22,Toy Story,Jim Varney|Tim Allen|Tom Hanks|Don Rickles,John Lasseter,Adventure|Animation|Children|Comedy|Fantasy,8.3
2,1995-12-15,Jumanji,Robin Williams|Bradley Pierce|Kirsten Dunst|Jonathan Hyde,Joe Johnston,Adventure|Children|Fantasy,6.9
3,1995-12-22,Grumpier Old Men,Walter Matthau|Ann-Margret|Jack Lemmon|Sophia Loren,Howard Deutch,Comedy|Romance,6.6
4,1995-12-22,Waiting to Exhale,Whitney Houston|Lela Rochon|Angela Bassett|Loretta Devine,Forest Whitaker,Romance|Drama|Comedy,5.6
5,1995-12-08,Father of the Bride Part II,Steve Martin|Kimberly Williams-Paisley|Diane Keaton|Martin Short,Charles Shyer,Comedy,5.9
6,1995-12-15,Heat,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight,Michael Mann,Action|Crime|Thriller,8.2
7,1995-12-15,Sabrina,Julia Ormond|Harrison Ford|Nancy Marchand|Greg Kinnear,Sydney Pollack,Comedy|Romance,6.2
8,1995-12-22,Tom and Huck,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig|Charles Rocket,Peter Hewitt,Children|Adventure,5.6
9,1995-12-22,Sudden Death,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry|Whittni Wright,Peter Hyams,Action,5.7
10,1995-11-17,GoldenEye,Pierce Brosnan|Famke Janssen|Sean Bean|Izabella Scorupco,Martin Campbell,Adventure|Action|Thriller,7.2
11,1995-11-17,"American President, The",Martin Sheen|Michael J. Fox|Michael Douglas|Annette Bening,Rob Reiner,Comedy|Romance|Drama,6.8
12,1995-12-22,Dracula: Dead and Loving It,Peter MacNicol|Leslie Nielsen|Steven Weber|Amy Yasbeck,Mel Brooks,Comedy|Horror,5.8
13,1995-12-22,Balto,Kevin Bacon|Bob Hoskins|Jim Cummings|Bridget Fonda,Simon Wells,Children|Adventure|Animation,7.1
14,1996-01-05,Nixon,Ed Harris|Anthony Hopkins|Powers Boothe|Joan Allen,Oliver Stone,Drama,7.1
15,1995-12-22,Cutthroat Island,Geena Davis|Frank Langella|Matthew Modine|Maury Chaykin,Renny Harlin,Romance|Adventure|Action,5.6
16,1995-11-22,Casino,Robert De Niro|Joe Pesci|Sharon Stone|James Woods,Martin Scorsese,Drama|Crime,8.2
17,1996-01-26,Sense and Sensibility,James Fleet|Kate Winslet|Tom Wilkinson|Harriet Walter,Ang Lee,Drama|Romance,7.7
18,1995-12-25,Four Rooms,Amanda De Cadenet|Valeria Golino|Madonna|Sammi Davis,Allison Anders|Robert Rodriguez|Quentin Tarantino| Alexandre Rockwell,Comedy,6.7
19,1995-11-10,Ace Ventura: When Nature Calls,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi,Steve Oedekerk,Comedy,6.3
20,1995-11-22,Money Train,Wesley Snipes|Robert Blake|Woody Harrelson|Jennifer Lopez,Joseph Ruben,Crime|Comedy|Thriller|Drama|Action,5.6
21,1995-10-20,Get Shorty,Danny DeVito|Gene Hackman|Rene Russo|John Travolta,Barry Sonnenfeld,Thriller|Crime|Comedy,6.9
22,1995-10-27,Copycat,Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara,Jon Amiel,Drama|Horror|Mystery|Thriller|Crime,6.6
23,1995-10-06,Assassins,Sylvester Stallone|Anatoli Davydov|Antonio Banderas|Julianne Moore,Richard Donner,Action|Crime|Thriller,6.3
24,1995-10-27,Powder,Mary Steenburgen|Jeff Goldblum|Lance Henriksen|Sean Patrick Flanery,Victor Salva,Sci-Fi|Drama,6.5
25,1996-02-09,Leaving Las Vegas,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis,Mike Figgis,Romance|Drama,7.6
26,1996-01-19,Othello,Irène Jacob|Laurence Fishburne|Kenneth Branagh|Nathaniel Parker,Oliver Parker,Drama,7.0
27,1995-10-20,Now and Then,Melanie Griffith|Thora Birch|Rosie O'Donnell|Christina Ricci,Lesli Linka Glatter,Drama|Children,6.7
28,1995-09-27,Persuasion,Amanda Root|Susan Fleetwood|Ciarán Hinds|Corin Redgrave,Roger Michell,Romance|Drama,7.7
29,1995-12-15,"City of Lost Children, The (Cité des enfants perdus, La)",Ron Perlman|Judith Vittet|Daniel Emilfork|Dominique Pinon,Jean-Pierre Jeunet|Marc Caro,Adventure|Drama|Fantasy|Mystery|Sci-Fi,7.7
30,1995-12-22,Shanghai Triad (Yao a yao yao dao waipo qiao),Gong Li|Li Baotian|Wang Xiaoxiao|Xuejian Li,Yimou Zhang,Drama|Crime,7.2
31,1995-08-11,Dangerous Minds,Michelle Pfeiffer|Robin Bartlett|George Dzundza|Courtney B. Vance,John N. Smith,Drama,6.4
32,1996-01-05,Twelve Monkeys (a.k.a. 12 Monkeys),Bruce Willis|Jon Seda|Michael Chance|Joseph Melito,Terry Gilliam,Mystery|Sci-Fi|Thriller,8.1
34,1995-08-04,Babe,Hugo Weaving|Christine Cavanaugh|Danny Mann|Miriam Margolyes,Chris Noonan,Children|Drama,6.8
35,1995-11-10,Carrington,Steven Waddington|Emma Thompson|Samuel West|Jonathan Pryce,Christopher Hampton,Romance|Drama,6.9
36,1996-02-02,Dead Man Walking,Susan Sarandon|Raymond J. Barry|Robert Prosky|Sean Penn,Tim Robbins,Drama|Crime,7.6
37,1995-10-20,Across the Sea of Time,Victor Steinbach|Peter Reznick|John McDonough|Avi Hoffman,Stephen Low,IMAX|Documentary,6.6
38,1995-11-17,It Takes Two,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen|Ashley Olsen,Andy Tennant,Comedy|Children,5.7
39,1995-07-19,Clueless,Alicia Silverstone|Paul Rudd|Brittany Murphy|Stacey Dash,Amy Heckerling,Comedy|Romance,6.8
40,1995-12-15,"Cry, the Beloved Country",James Earl Jones|Vusi Kunene|Richard Harris|Charles S. Dutton,Darrell James Roodt,Drama,6.9
41,1995-12-29,Richard III,Ian McKellen|Jim Broadbent|Annette Bening|Robert Downey Jr.,Richard Loncraine,Drama|War,7.5
42,1995-10-06,Dead Presidents,Larenz Tate|Freddy Rodríguez|Chris Tucker|Keith David,Albert Hughes| Allen Hughes,Drama|Action|Crime,6.8
43,1996-02-02,Restoration,Sam Neill|David Thewlis|Robert Downey Jr.|Polly Walker,Michael Hoffman,Drama,6.7
44,1995-08-18,Mortal Kombat,Christopher Lambert|Linden Ashby|Robin Shou|Cary-Hiroyuki Tagawa,Paul W.S. Anderson,Adventure|Action|Fantasy,5.8
45,1995-10-06,To Die For,Joaquin Phoenix|Matt Dillon|Casey Affleck|Nicole Kidman,Gus Van Sant,Drama|Thriller|Comedy,6.8
46,1995-10-06,How to Make an American Quilt,Anne Bancroft|Winona Ryder|Adam Baldwin|Kate Capshaw,Jocelyn Moorhouse,Romance|Drama,6.2
47,1995-09-22,Seven (a.k.a. Se7en),Morgan Freeman|Brad Pitt|Andrew Kevin Walker|Daniel Zacapa,David Fincher,Mystery|Thriller,8.6
48,1995-06-23,Pocahontas,Mel Gibson|Irene Bedard|David Ogden Stiers|Judy Kuhn,Eric Goldberg|Mike Gabriel,Drama|Musical|Animation|Children|Romance,6.6
49,1995-11-17,When Night Is Falling,Henry Czerny|Rachael Crawford|David Fox|Pascale Bussières,Patricia Rozema,Drama|Romance,6.8
50,1995-09-15,"Usual Suspects, The",Gabriel Byrne|Stephen Baldwin|Benicio Del Toro|Kevin Pollak,Bryan Singer,Thriller|Mystery|Crime,8.6
52,1995-11-10,Mighty Aphrodite,Woody Allen|Mira Sorvino|Rene Ceballos|George De La Pena,Woody Allen,Drama|Comedy|Romance,7.1
53,1995-10-04,Lamerica,Enrico Lo Verso|Carmelo Di Mazzarelli|Piro Milkani|Michele Placido,Gianni Amelio,Adventure|Drama,7.6
54,1995-09-29,"Big Green, The",Olivia d'Abo|Jay O. Sanders|Steve Guttenberg|John Terry,Holly Goldberg Sloan,Children|Comedy,5.4
55,1995-12-08,Georgia,Jennifer Jason Leigh|Max Perlich|Mare Winningham|Ted Levine,Ulu Grosbard,Drama,6.4
57,1995-11-03,Home for the Holidays,Holly Hunter|Charles Durning|Robert Downey Jr.|Anne Bancroft,Jodie Foster,Drama,6.6
58,1996-03-22,"Postman, The (Postino, Il)",Philippe Noiret|Renato Scarpa|Maria Grazia Cucinotta|Massimo Troisi,Michael Radford,Comedy|Romance|Drama,7.8
59,1996-08-16,"Confessional, The (Confessionnal, Le)",Patrick Goyette|Jean-Louis Millette|Kristin Scott Thomas|Lothaire Bluteau,Robert Lepage,Drama|Mystery,7.6
60,1995-07-14,"Indian in the Cupboard, The",Hal Scardino|Litefoot|Lindsay Crouse|Richard Jenkins,Frank Oz,Fantasy|Adventure|Children,5.9
61,1996-01-12,Eye for an Eye,Sally Field|Ed Harris|Olivia Burnette|Alexandra Kyle,John Schlesinger,Drama|Thriller,6.1
62,1996-01-19,Mr. Holland's Opus,Jay Thomas|Glenne Headly|Olympia Dukakis|Richard Dreyfuss,Stephen Herek,Drama,7.3
63,1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Chris Spencer|Tracey Cherelle Jones|Marlon Wayans|Shawn Wayans,Paris Barclay,Comedy|Crime,6.6
64,1996-01-12,Two if by Sea,Denis Leary|Sandra Bullock|Stephen Dillane|Yaphet Kotto,Bill Bennett,Comedy|Romance,5.2
65,1996-01-12,Bio-Dome,William Atherton|Denise Dowse|Dara Tomanovich|Kevin West,Jason Bloom,Comedy,4.3
66,1996-01-12,Lawnmower Man 2: Beyond Cyberspace,Patrick Bergin|Matt Frewer|Ely Pouget|Austin O'Brien,Farhad Mann,Thriller|Sci-Fi|Action,2.4
68,1996-01-19,French Twist (Gazon maudit),Ticky Holgado|Alain Chabat|Josiane Balasko|Victoria Abril,Josiane Balasko,Romance|Comedy,6.4
69,1995-04-26,Friday,Tommy 'Tiny' Lister|Nia Long|Chris Tucker|Ice Cube,F. Gary Gray,Comedy,7.3
