stop_I;lat;lon;name
9;41.872362;12.48444;Roma Ostiense
10;42.006374;12.520168;Settebagni
16;42.002853;12.380691;La Storta
17;41.818408;12.34473;Ponte Galeria
18;41.809481;12.557676;Torricola
19;41.824775;12.408648;Muratella
20;41.847902;12.455112;Villa Bonelli
21;41.81002;12.319127;Fiera di Roma
22;42.01463;12.363741;Olgiata
23;41.872385;12.466139;Roma Trastevere
24;41.896065;12.454467;Roma San Pietro
25;41.911906;12.438886;Appiano Proba Petronia
26;41.927852;12.427862;Gemelli
27;41.799809;12.296186;Parco Leonardo
28;41.946703;12.416304;Roma San Filippo Neri
30;41.830764;12.568833;Capannelle
31;41.834296;12.430979;Magliana
32;41.979177;12.508455;Fidene
33;41.878598;12.458787;Quattro Venti
34;41.968752;12.408857;Ipogeo degli Ottavi
35;41.911082;12.531088;Roma Tiburtina
37;41.879237;12.523672;Roma Tuscolana
38;41.939064;12.421741;Roma Monte Mario
39;41.920067;12.436624;Roma Balduina
40;41.985294;12.403301;La Giustiniana
41;41.960357;12.410142;Ottavia
43;41.932639;12.523367;Roma Nomentana
48;41.883045;12.394187;Roma Aurelia
72;41.867586;12.689102;ROCCA CENCIA/GIOIOSA JONICA
73;41.945968;12.521851;PRATI FISCALI/VAL DI SANGRO
74;41.737614;12.372494;CASTEL PORZIANO/MARIANI
75;41.902849;12.684791;FOSSO OSA/MONTELAPIANO
76;41.824006;12.586431;LUCREZIA ROMANA
77;41.886401;12.554396;GORDIANI/AMALFI
79;41.937262;12.378061;SELVA CANDIDA/ROSSO E.
80;41.789476;12.330582;SESTO S. GIOVANNI/DRAGONE
81;41.791448;12.329542;TRADATE/BAREGGIO
82;41.932141;12.581147;TIBURTINA/LINO DA PARMA
83;41.932732;12.588327;TIBURTINA/TOR CERVARA
84;41.932953;12.590991;TIBURTINA/TIVOLI
85;42.008463;12.493485;CIMITERO/V.LE UFFICI
86;41.989138;12.481125;SALK/GHISALBA
87;41.932181;12.376702;SELVA CANDIDA/BASALUZZO
88;41.932069;12.37688;SELVA CANDIDA/BASALUZZO
89;41.875227;12.454793;DONNA OLIMPIA/FIORINI
92;41.789928;12.386423;GELLI/DANIELLO
