from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
260;16;12211;1102.5;8;330:8
260;25;1026;180.78947368421052;76;330:76
260;26;2997;360.0;1;330:1
260;24;1322;183.95604395604394;91;330:91
8456;24;4294;750.0;2;332:2
8456;9;3284;535.7142857142857;14;332:14
8456;37;2445;360.0;25;332:25
9;8456;3284;672.8571428571429;14;332:14
9;37;3340;386.7153284671533;137;328:63,330:40,332:34
9;23;1517;246.33165829145727;199;328:67,330:83,332:49
10;32;3178;300.0;63;328:63
267;194;6898;420.0;1;329:1
267;268;1865;186.66666666666666;36;329:36
267;266;1166;185.14285714285714;35;329:35
268;266;3031;300.0;1;329:1
268;194;5034;360.0;4;329:4
268;267;1865;240.0;34;329:34
268;269;1044;207.27272727272728;33;329:33
269;193;1213;180.0;12;329:12
269;194;3990;317.14285714285717;21;329:21
269;268;1044;181.93548387096774;31;329:31
270;32;2648;240.0;54;328:54
270;43;2757;241.9047619047619;63;328:63
16;40;2705;248.46153846153845;78;330:78
16;34;4454;360.0;2;330:2
16;260;12211;1080.0;11;330:11
16;22;1919;192.0;65;330:65
17;19;5349;282.85714285714283;63;328:63
17;21;2320;212.45901639344262;61;328:61
18;196;11154;788.5714285714286;28;334:7,335:21
19;17;5349;291.1475409836066;61;328:61
19;31;2134;200.95238095238096;63;328:63
20;23;2874;294.2857142857143;63;328:63
20;31;2509;180.0;61;328:61
21;17;2320;175.23809523809524;63;328:63
21;27;2217;147.54098360655738;61;328:61
22;16;1919;191.07692307692307;65;330:65
279;241;770;180.0;3;331:3
24;48;5201;338.9189189189189;37;332:37
24;33;1977;240.0;77;330:77
24;260;1322;241.41176470588235;85;330:85
24;8456;4294;780.0;1;332:1
24;23;2807;255.0;68;330:12,332:56
25;260;1026;240.75;80;330:80
25;39;927;126.3157894736842;76;330:76
26;38;1347;183.8961038961039;77;330:77
26;39;1130;180.0;80;330:80
27;21;2217;195.23809523809524;63;328:63
28;41;1603;180.0;77;330:77
28;38;962;180.0;80;330:80
30;35;9472;960.0;5;331:5
30;196;9549;747.3684210526316;57;331:57
30;190;3894;352.1311475409836;61;331:60,333:1
31;19;2134;128.85245901639345;61;328:61
31;20;2509;145.71428571428572;63;328:63
32;10;3178;300.0;52;328:52
32;270;2648;240.0;63;328:63
33;24;1977;243.2876712328767;73;330:73
33;23;921;119.22077922077922;77;330:77
34;40;1897;182.33766233766235;77;330:77
34;41;940;180.0;80;330:80
35;192;1926;331.7647058823529;34;329:34
35;194;11392;708.0;5;329:5
35;37;3597;364.44444444444446;81;328:66,330:15
35;265;2538;540.0;1;329:1
35;266;3673;420.0;1;329:1
35;43;2483;241.11111111111111;54;328:54
35;30;9472;840.0;5;331:5
37;8456;2445;416.25;32;332:32
37;9;3340;386.6666666666667;108;328:66,330:15,332:27
37;35;3597;454.03846153846155;104;328:63,330:39,332:2
38;26;1347;179.25;80;330:80
38;28;962;181.55844155844156;77;330:77
39;25;927;123.75;80;330:80
