from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
8472;8483;1135;151.0;306;340:306
8473;8474;647;83.0;306;340:306
8474;8475;348;46.0;306;340:306
8475;8476;805;101.0;306;340:306
8476;8477;473;59.0;306;340:306
8477;8478;613;77.0;306;340:306
8478;8479;567;71.0;306;340:306
8479;8480;608;76.0;306;340:306
8480;8481;471;59.0;306;340:306
8481;8482;772;96.0;306;340:306
8482;8484;680;85.0;306;340:306
8483;8492;700;100.0;306;340:306
8484;8485;1042;133.0;306;340:306
8485;8486;417;53.0;306;340:306
8486;8487;454;57.0;306;340:306
8487;8488;572;72.0;306;340:306
8488;8489;554;69.0;306;340:306
8489;8490;669;84.0;306;340:306
8490;8491;1232;155.0;306;340:306
8492;8493;692;87.0;306;340:306
8493;8494;730;92.0;306;340:306
8494;8495;911;115.0;306;340:306
8495;8496;704;88.0;306;340:306
8496;8497;855;108.0;306;340:306
8497;8498;725;93.0;306;340:306
8498;8473;694;90.0;306;340:306
8499;8510;1224;155.0;305;340:305
8500;8501;472;59.0;305;340:305
8501;8502;604;76.0;305;340:305
8502;8503;568;71.0;305;340:305
8503;8504;603;76.0;305;340:305
8504;8505;473;59.0;305;340:305
8505;8506;817;102.0;305;340:305
8506;8507;361;46.0;305;340:305
8507;8508;637;83.0;305;340:305
8508;8509;693;90.0;305;340:305
8509;8511;741;93.0;305;340:305
8510;8519;670;84.0;305;340:305
8511;8512;864;108.0;305;340:305
8512;8513;698;87.0;305;340:305
8513;8514;914;116.0;305;340:305
8514;8515;735;92.0;305;340:305
8515;8516;684;87.0;305;340:305
8516;8517;681;100.0;305;340:305
8517;8518;1141;151.0;305;340:305
8519;8520;558;70.0;305;340:305
8520;8521;572;72.0;305;340:305
8521;8522;456;57.0;305;340:305
8522;8523;426;53.0;305;340:305
8523;8524;1035;132.0;305;340:305
8524;8525;681;86.0;305;340:305
8525;8500;767;96.0;305;340:305
8526;8537;817;106.0;188;341:188
8527;8528;730;92.0;308;341:188,342:120
8528;8529;845;105.0;308;341:188,342:120
8529;8530;463;58.0;308;341:188,342:120
8530;8531;922;118.0;308;341:188,342:120
8531;8532;994;130.0;308;341:188,342:120
8532;8533;1019;133.0;308;341:188,342:120
8533;8534;1242;155.0;308;341:188,342:120
8534;8535;825;104.0;308;341:188,342:120
8535;8536;1428;183.0;308;341:188,342:120
8536;8538;1079;168.0;308;341:188,342:120
8537;8545;621;78.0;188;341:188
8538;8539;437;55.0;308;341:188,342:120
8539;8540;824;104.0;308;341:188,342:120
8541;8550;1192;172.0;120;342:120
8542;8541;916;121.0;120;342:120
8543;8542;1056;136.0;120;342:120
8544;8543;921;124.0;120;342:120
8545;8546;517;70.0;188;341:188
8546;8547;700;88.0;188;341:188
8547;8548;736;92.0;188;341:188
8548;8549;881;114.0;188;341:188
8549;8550;872;112.0;188;341:188
8550;8551;891;117.0;308;341:188,342:120
8551;8527;635;87.0;308;341:188,342:120
8552;8563;822;104.0;308;341:188,342:120
8553;8554;462;58.0;308;341:188,342:120
8554;8555;840;105.0;308;341:188,342:120
8555;8556;731;91.0;308;341:188,342:120
8556;8557;608;87.0;308;341:188,342:120
8557;8558;906;118.0;308;341:188,342:120
8558;8559;868;113.0;188;341:188
8558;8567;1199;172.0;120;342:120
8559;8560;906;113.0;188;341:188
8560;8561;717;92.0;188;341:188
8561;8562;696;88.0;188;341:188
8562;8564;541;69.0;188;341:188
8563;8571;438;55.0;308;341:188,342:120
8564;8565;631;79.0;188;341:188
8565;8566;812;106.0;188;341:188
8567;8568;905;121.0;120;342:120
8568;8569;1056;136.0;120;342:120
8569;8570;930;124.0;120;342:120
8571;8572;1057;168.0;308;341:188,342:120
8572;8573;1438;183.0;308;341:188,342:120
8573;8574;834;105.0;308;341:188,342:120
8574;8575;1230;154.0;308;341:188,342:120
8575;8576;1033;133.0;308;341:188,342:120
8576;8577;973;130.0;308;341:188,342:120
8577;8553;929;118.0;308;341:188,342:120
8579;8578;808;102.0;78;343:78
8580;8579;829;104.0;78;343:78
8581;8580;565;74.0;78;343:78
8582;8581;1200;152.0;78;343:78
8583;8582;704;88.0;78;343:78
8584;8583;1020;130.0;78;343:78
8585;8584;878;110.0;78;343:78
8586;8585;836;105.0;78;343:78
8587;8586;736;93.0;78;343:78
8588;8587;547;70.0;78;343:78
8589;8588;1149;146.0;78;343:78
8590;8589;903;115.0;78;343:78
8591;8590;650;82.0;78;343:78
8592;8591;967;130.0;147;343:147
8593;8592;743;93.0;147;343:147
8594;8593;668;89.0;147;343:147
8595;8594;959;123.0;147;343:147
8596;8595;954;124.0;147;343:147
8597;8596;966;121.0;147;343:147
8598;8597;825;106.0;147;343:147
8599;8600;828;104.0;79;343:79
8600;8601;811;103.0;79;343:79
8601;8602;587;75.0;79;343:79
8602;8603;1184;152.0;79;343:79
8603;8604;703;88.0;79;343:79
8604;8605;1021;131.0;79;343:79
8605;8606;876;110.0;79;343:79
8606;8607;841;105.0;79;343:79
8607;8608;737;92.0;79;343:79
8608;8609;535;70.0;79;343:79
8609;8610;1158;147.0;79;343:79
8610;8611;895;115.0;79;343:79
8611;8612;647;82.0;79;343:79
8612;8613;956;130.0;148;343:148
8613;8614;747;93.0;148;343:148
8614;8615;683;89.0;148;343:148
8615;8616;966;123.0;148;343:148
8616;8617;954;124.0;148;343:148
8617;8618;964;121.0;148;343:148
8618;8619;830;106.0;148;343:148
