from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
7686;1084;282;101.0;278;85:140,166:138
7638;8044;153;44.0;221;272:221
1040;1043;549;133.0;143;85:143
1043;1044;302;73.0;143;85:143
1044;1046;471;114.0;143;85:143
1046;1049;221;56.0;378;85:143,166:141,95:94
1049;1052;334;84.0;378;85:143,166:141,95:94
6063;1868;400;89.0;125;272:16,115:109
1052;1053;334;84.0;378;85:143,166:141,95:94
541;931;238;61.0;378;85:143,166:141,95:94
1054;918;208;53.0;378;85:143,166:141,95:94
6064;1904;607;151.0;125;272:16,115:109
1064;1096;95;51.0;90;95:90
1064;1862;424;132.0;125;272:16,115:109
1068;1070;362;88.0;284;85:143,166:141
1070;1076;507;120.0;284;85:143,166:141
1076;7686;305;107.0;284;85:143,166:141
1084;5694;535;119.0;278;85:140,166:138
5694;1092;460;102.0;278;85:140,166:138
1092;933;456;115.0;278;85:140,166:138
1095;1068;509;129.0;284;85:143,166:141
1096;6242;369;94.0;368;85:140,166:138,95:90
1096;1293;180;62.0;109;115:109
1100;1007;304;71.0;368;85:140,166:138,95:90
6242;1005;415;97.0;368;85:140,166:138,95:90
1104;1106;265;61.0;368;85:140,166:138,95:90
1106;4503;382;87.0;368;85:140,166:138,95:90
1108;1112;344;78.0;368;85:140,166:138,95:90
1112;1116;328;75.0;368;85:140,166:138,95:90
7770;7613;425;118.0;183;97:183
1116;4084;219;60.0;228;166:138,95:90
1116;1118;349;81.0;140;85:140
1118;1119;330;76.0;140;85:140
1119;1120;517;118.0;140;85:140
1120;1122;164;49.0;140;85:140
1122;1123;248;57.0;140;85:140
1123;1016;20;88.0;140;85:140
6756;7624;337;86.0;276;97:182,95:94
8153;1844;422;122.0;94;95:94
8043;7639;145;39.0;221;272:221
1684;1687;51;18.0;109;115:109
1687;1243;332;112.0;206;97:7,115:109,95:90
1690;1248;156;38.0;206;97:7,115:109,95:90
1053;1054;416;105.0;378;85:143,166:141,95:94
696;1928;377;84.0;94;95:94
707;1253;431;107.0;206;97:7,115:109,95:90
709;1315;215;92.0;209;97:6,115:109,95:94
1230;1288;175;54.0;90;95:90
1230;4081;153;46.0;138;166:138
974;975;273;68.0;125;272:16,115:109
975;977;436;105.0;125;272:16,115:109
979;981;292;68.0;125;272:16,115:109
1248;1251;239;92.0;206;97:7,115:109,95:90
1251;707;278;68.0;206;97:7,115:109,95:90
1253;1255;455;114.0;206;97:7,115:109,95:90
7633;7634;313;84.0;346;272:237,115:109
1256;1257;243;62.0;206;97:7,115:109,95:90
1257;1258;140;36.0;206;97:7,115:109,95:90
1258;1259;372;94.0;206;97:7,115:109,95:90
1259;1260;260;66.0;206;97:7,115:109,95:90
1260;1262;234;59.0;206;97:7,115:109,95:90
1262;1263;270;80.0;206;97:7,115:109,95:90
1263;1266;75;19.0;206;97:7,115:109,95:90
1266;1267;305;89.0;206;97:7,115:109,95:90
1267;1268;368;109.0;206;97:7,115:109,95:90
1268;1270;228;58.0;206;97:7,115:109,95:90
1270;1271;101;26.0;206;97:7,115:109,95:90
1271;1064;213;54.0;206;97:7,115:109,95:90
1237;5605;223;55.0;97;97:7,95:90
1284;1046;363;122.0;235;166:141,95:94
1285;4080;292;63.0;228;166:138,95:90
1287;1230;142;53.0;228;166:138,95:90
1288;4083;282;81.0;94;95:94
1291;1284;327;121.0;235;166:141,95:94
1293;1300;116;31.0;209;97:6,115:109,95:94
1300;1301;207;55.0;209;97:6,115:109,95:94
1301;1302;395;113.0;209;97:6,115:109,95:94
1302;1303;246;81.0;209;97:6,115:109,95:94
1303;1307;140;39.0;209;97:6,115:109,95:94
981;985;422;104.0;125;272:16,115:109
1307;1308;248;73.0;209;97:6,115:109,95:94
1308;1858;196;53.0;209;97:6,115:109,95:94
1309;1857;346;92.0;209;97:6,115:109,95:94
2846;1040;222;69.0;143;85:143
7967;1949;549;152.0;125;272:16,115:109
1312;1314;529;147.0;209;97:6,115:109,95:94
1314;1853;372;103.0;209;97:6,115:109,95:94
1315;1316;226;62.0;209;97:6,115:109,95:94
1316;1318;420;130.0;209;97:6,115:109,95:94
1318;1323;401;136.0;209;97:6,115:109,95:94
1323;1324;444;122.0;100;97:6,95:94
1323;1684;85;70.0;109;115:109
1324;6756;322;98.0;94;95:94
1324;7614;448;137.0;6;97:6
1844;1845;458;160.0;90;95:90
1845;1846;284;83.0;90;95:90
1846;1847;363;86.0;90;95:90
1847;1848;382;90.0;90;95:90
1848;7613;474;142.0;90;95:90
7647;7648;437;106.0;237;272:237
1853;709;287;79.0;209;97:6,115:109,95:94
1855;1312;269;76.0;209;97:6,115:109,95:94
1856;1855;245;65.0;209;97:6,115:109,95:94
1857;1856;229;61.0;209;97:6,115:109,95:94
1858;1309;278;74.0;209;97:6,115:109,95:94
1862;1863;351;90.0;125;272:16,115:109
1863;942;474;143.0;125;272:16,115:109
1866;7632;397;98.0;109;115:109
1868;1869;497;64.0;125;272:16,115:109
1869;951;302;41.0;125;272:16,115:109
7649;7650;455;108.0;237;272:237
8042;8043;531;165.0;221;272:221
1255;1256;340;86.0;206;97:7,115:109,95:90
8044;8042;481;155.0;221;272:221
1904;991;295;84.0;125;272:16,115:109
1908;7967;479;147.0;125;272:16,115:109
7554;1014;221;52.0;368;85:140,166:138,95:90
7555;928;231;60.0;378;85:143,166:141,95:94
1928;1929;210;43.0;94;95:94
1929;1930;374;77.0;94;95:94
1930;1931;235;52.0;94;95:94
1931;8153;189;42.0;94;95:94
918;921;284;75.0;378;85:143,166:141,95:94
4503;1108;332;75.0;368;85:140,166:138,95:90
6040;1285;300;72.0;228;166:138,95:90
921;7555;181;47.0;378;85:143,166:141,95:94
1946;993;520;134.0;125;272:16,115:109
1949;1096;259;80.0;125;272:16,115:109
928;541;330;86.0;378;85:143,166:141,95:94
931;932;251;63.0;378;85:143,166:141,95:94
932;1293;505;173.0;94;95:94
932;1095;596;161.0;284;85:143,166:141
933;1096;118;51.0;278;85:140,166:138
942;943;298;74.0;125;272:16,115:109
943;944;342;92.0;125;272:16,115:109
944;945;388;107.0;125;272:16,115:109
945;946;355;97.0;125;272:16,115:109
946;6063;506;122.0;125;272:16,115:109
951;953;238;51.0;125;272:16,115:109
953;955;234;53.0;125;272:16,115:109
955;956;188;43.0;125;272:16,115:109
956;7642;343;107.0;125;272:16,115:109
7613;1237;341;114.0;97;97:7,95:90
7613;7614;579;156.0;176;97:176
7614;7615;412;115.0;182;97:182
7615;7616;486;123.0;182;97:182
7616;7617;441;110.0;182;97:182
7617;7618;130;53.0;182;97:182
7618;7619;310;78.0;182;97:182
7619;7620;311;110.0;182;97:182
7620;7621;121;37.0;182;97:182
7621;7622;590;151.0;182;97:182
7622;7623;400;102.0;182;97:182
7623;6756;231;59.0;182;97:182
7624;696;185;57.0;94;95:94
7624;7770;385;97.0;182;97:182
7625;7626;157;43.0;237;272:237
